"date","geo_value","cases","deaths"
2020-09-12,"az",2611,108
2020-09-12,"ca",23025,640
2020-09-12,"co",2917,28
2020-09-12,"ct",961,12
2020-09-12,"de",834,7
2020-09-12,"fl",17704,789
2020-09-12,"ga",11357,310
2020-09-12,"hi",1029,13
2020-09-12,"ia",4515,54
2020-09-12,"id",1693,31
2020-09-12,"il",11897,142
2020-09-12,"in",5600,81
2020-09-12,"ks",2997,46
2020-09-12,"ky",3951,64
2020-09-12,"la",4750,167
2020-09-12,"ma",2344,25
2020-09-12,"md",3926,40
2020-09-12,"me",201,1
2020-09-12,"mi",5780,105
2020-09-12,"mn",3708,55
2020-09-12,"mo",9565,62
2020-09-12,"ms",3142,116
2020-09-12,"mt",761,17
2020-09-12,"nc",8250,158
2020-09-12,"nd",1950,12
2020-09-12,"ne",2315,33
2020-09-12,"nh",228,3
2020-09-12,"nj",2933,42
2020-09-12,"nm",613,21
2020-09-12,"nv",2118,61
2020-09-12,"ny",5016,37
2020-09-12,"oh",6783,140
2020-09-12,"ok",5472,49
2020-09-12,"or",1300,25
2020-09-12,"pa",5318,79
2020-09-12,"ri",662,9
2020-09-12,"sc",5689,163
2020-09-12,"sd",1541,9
2020-09-12,"tn",7867,202
2020-09-12,"tx",25934,752
2020-09-12,"ut",2975,13
2020-09-12,"va",7141,45
2020-09-12,"vt",30,0
2020-09-12,"wa",2759,36
2020-09-12,"wi",7303,43
2020-09-12,"wv",1235,20
2020-09-12,"wy",307,0
2020-09-19,"ak",552,1
2020-09-19,"al",6412,87
2020-09-19,"ar",5450,212
2020-09-19,"az",5423,152
2020-09-19,"ca",24011,655
2020-09-19,"co",4107,27
2020-09-19,"ct",1201,12
2020-09-19,"de",723,5
2020-09-19,"fl",19662,687
2020-09-19,"ga",12116,312
2020-09-19,"hi",763,23
2020-09-19,"ia",5599,47
2020-09-19,"id",2080,26
2020-09-19,"il",13042,145
2020-09-19,"in",6198,89
2020-09-19,"ks",3807,70
2020-09-19,"ky",4691,51
2020-09-19,"la",4213,140
2020-09-19,"ma",2641,33
2020-09-19,"md",4211,40
2020-09-19,"me",200,4
2020-09-19,"mi",4971,55
2020-09-19,"mn",5133,57
2020-09-19,"mo",11056,100
2020-09-19,"ms",3467,124
2020-09-19,"mt",1238,23
2020-09-19,"nc",9321,188
2020-09-19,"nd",2367,25
2020-09-19,"ne",2677,5
2020-09-19,"nh",268,3
2020-09-19,"nj",3334,37
2020-09-19,"nm",851,26
2020-09-19,"nv",2199,79
2020-09-19,"ny",5627,57
2020-09-19,"oh",6979,113
2020-09-19,"ok",7145,44
2020-09-19,"or",1443,20
2020-09-19,"pa",5868,114
2020-09-19,"ri",715,15
2020-09-19,"sc",7262,148
2020-09-19,"sd",1988,17
2020-09-19,"tn",11370,152
2020-09-19,"tx",35854,682
2020-09-19,"ut",5605,7
2020-09-19,"va",6787,268
2020-09-19,"vt",33,0
2020-09-19,"wa",2884,48
2020-09-19,"wi",11959,35
2020-09-19,"wv",1361,45
2020-09-19,"wy",484,7
2020-09-26,"ak",704,7
2020-09-26,"al",7387,64
2020-09-26,"ar",5595,104
2020-09-26,"az",3275,155
2020-09-26,"ca",24654,557
2020-09-26,"co",4324,35
2020-09-26,"ct",1060,9
2020-09-26,"de",707,11
2020-09-26,"fl",17449,735
2020-09-26,"ga",8852,315
2020-09-26,"hi",720,11
2020-09-26,"ia",6104,49
2020-09-26,"id",3049,19
2020-09-26,"il",13732,160
2020-09-26,"in",5790,100
2020-09-26,"ks",5637,39
2020-09-26,"ky",4930,46
2020-09-26,"la",3830,102
2020-09-26,"ma",2869,22
2020-09-26,"md",3228,49
2020-09-26,"me",224,1
2020-09-26,"mi",6256,75
2020-09-26,"mn",6938,41
2020-09-26,"mo",11323,229
2020-09-26,"ms",3590,102
2020-09-26,"mt",1744,15
2020-09-26,"nc",9508,205
2020-09-26,"nd",2749,35
2020-09-26,"ne",2799,27
2020-09-26,"nh",201,1
2020-09-26,"nj",4056,39
2020-09-26,"nm",1180,23
2020-09-26,"nv",2936,54
2020-09-26,"ny",5918,205
2020-09-26,"oh",6462,123
2020-09-26,"ok",7706,61
2020-09-26,"or",1982,17
2020-09-26,"pa",5757,143
2020-09-26,"ri",561,10
2020-09-26,"sc",8033,135
2020-09-26,"sd",2638,18
2020-09-26,"tn",9080,158
2020-09-26,"tx",32904,660
2020-09-26,"ut",6695,8
2020-09-26,"va",5753,154
2020-09-26,"vt",29,0
2020-09-26,"wa",3897,48
2020-09-26,"wi",14083,61
2020-09-26,"wv",1278,26
2020-09-26,"wy",684,1
2020-10-03,"ak",880,7
2020-10-03,"al",7216,57
2020-10-03,"ar",5770,122
2020-10-03,"az",3573,83
2020-10-03,"ca",23631,585
2020-10-03,"co",5020,34
2020-10-03,"ct",1710,12
2020-10-03,"de",969,14
2020-10-03,"fl",15909,606
2020-10-03,"ga",8296,219
2020-10-03,"hi",716,22
2020-10-03,"ia",6393,67
2020-10-03,"id",3406,20
2020-10-03,"il",14009,191
2020-10-03,"in",7510,124
2020-10-03,"ks",4504,65
2020-10-03,"ky",5965,51
2020-10-03,"la",3674,101
2020-10-03,"ma",4253,27
2020-10-03,"md",3847,32
2020-10-03,"me",226,2
2020-10-03,"mi",6868,79
2020-10-03,"mn",7128,70
2020-10-03,"mo",9630,110
2020-10-03,"ms",3490,100
2020-10-03,"mt",2449,15
2020-10-03,"nc",9112,189
2020-10-03,"nd",2805,44
2020-10-03,"ne",3807,28
2020-10-03,"nh",476,3
2020-10-03,"nj",5385,32
2020-10-03,"nm",1604,20
2020-10-03,"nv",3353,38
2020-10-03,"ny",8734,87
2020-10-03,"oh",7957,121
2020-10-03,"ok",7238,47
2020-10-03,"or",1930,29
2020-10-03,"pa",7255,97
2020-10-03,"ri",895,10
2020-10-03,"sc",5618,119
2020-10-03,"sd",2790,29
2020-10-03,"tn",8322,186
2020-10-03,"tx",27848,624
2020-10-03,"ut",6678,28
2020-10-03,"va",5395,126
2020-10-03,"vt",39,0
2020-10-03,"wa",3771,49
2020-10-03,"wi",17153,86
2020-10-03,"wv",1314,26
2020-10-03,"wy",900,3
2020-10-10,"ak",1177,2
2020-10-10,"al",6517,106
2020-10-10,"ar",5695,145
2020-10-10,"az",4579,54
2020-10-10,"ca",23439,452
2020-10-10,"co",7048,43
2020-10-10,"ct",1741,17
2020-10-10,"de",873,11
2020-10-10,"fl",14330,558
2020-10-10,"ga",8100,260
2020-10-10,"hi",644,15
2020-10-10,"ia",6741,78
2020-10-10,"id",3999,27
2020-10-10,"il",16669,198
2020-10-10,"in",9352,126
2020-10-10,"ks",4730,74
2020-10-10,"ky",7444,44
2020-10-10,"la",4580,90
2020-10-10,"ma",4037,31
2020-10-10,"md",3976,38
2020-10-10,"me",211,1
2020-10-10,"mi",8155,94
2020-10-10,"mn",8041,58
2020-10-10,"mo",13673,243
2020-10-10,"ms",4471,85
2020-10-10,"mt",3761,23
2020-10-10,"nc",12866,136
2020-10-10,"nd",3690,65
2020-10-10,"ne",4484,22
2020-10-10,"nh",495,13
2020-10-10,"nj",6035,36
2020-10-10,"nm",2426,17
2020-10-10,"nv",3691,39
2020-10-10,"ny",10090,89
2020-10-10,"oh",9492,147
2020-10-10,"ok",7873,44
2020-10-10,"or",2413,28
2020-10-10,"pa",8564,141
2020-10-10,"ri",1218,17
2020-10-10,"sc",5730,109
2020-10-10,"sd",3881,38
2020-10-10,"tn",13097,198
2020-10-10,"tx",22762,634
2020-10-10,"ut",8419,34
2020-10-10,"va",7102,84
2020-10-10,"vt",79,0
2020-10-10,"wa",4249,45
2020-10-10,"wi",16762,125
2020-10-10,"wv",1446,24
2020-10-10,"wy",1090,1
2020-10-17,"ak",1361,6
2020-10-17,"al",7439,124
